,x_coor,y_coor,frame
0,321,334,0
1,39,322,0
2,453,292,0
3,95,251,0
4,252,200,0
5,389,80,0
6,321,334,1
7,39,322,1
8,453,292,1
9,95,251,1
10,252,200,1
11,389,80,1
12,321,334,2
13,39,322,2
14,453,292,2
15,95,251,2
16,252,200,2
17,389,80,2
18,321,334,3
19,39,322,3
20,453,292,3
21,95,251,3
22,252,200,3
23,389,80,3
24,321,334,4
25,39,322,4
26,453,292,4
27,95,251,4
28,252,200,4
29,389,80,4
30,321,334,5
31,39,322,5
32,453,292,5
33,95,251,5
34,252,200,5
35,389,80,5
36,321,334,6
37,39,322,6
38,453,292,6
39,95,251,6
40,252,200,6
41,389,80,6
42,321,334,7
43,39,322,7
44,453,292,7
45,95,251,7
46,252,200,7
47,389,80,7
48,321,334,8
49,39,322,8
50,453,292,8
51,95,251,8
52,252,200,8
53,389,80,8
54,321,334,9
55,39,322,9
56,453,292,9
57,95,251,9
58,252,200,9
59,389,80,9
60,321,334,10
61,39,322,10
62,453,292,10
63,95,251,10
64,252,200,10
65,389,80,10
66,321,334,11
67,39,322,11
68,453,292,11
69,95,251,11
70,252,200,11
71,389,80,11
72,321,334,12
73,39,322,12
74,453,292,12
75,95,251,12
76,252,200,12
77,389,80,12
78,321,334,13
79,39,322,13
80,453,292,13
81,95,251,13
82,252,200,13
83,389,80,13
84,321,334,14
85,39,322,14
86,453,292,14
87,95,251,14
88,394,249,14
89,252,200,14
90,389,80,14
91,321,334,15
92,39,322,15
93,453,292,15
94,95,251,15
95,391,244,15
96,252,200,15
97,389,80,15
98,321,334,16
99,39,322,16
100,453,292,16
101,95,251,16
102,388,240,16
103,252,200,16
104,389,80,16
105,321,334,17
106,39,322,17
107,453,292,17
108,95,251,17
109,385,236,17
110,252,200,17
111,389,80,17
112,321,334,18
113,39,322,18
114,453,292,18
115,95,251,18
116,382,232,18
117,252,200,18
118,389,80,18
119,321,334,19
120,39,322,19
121,453,292,19
122,95,251,19
123,379,228,19
124,252,200,19
125,389,80,19
126,321,334,20
127,39,322,20
128,453,292,20
129,95,251,20
130,376,224,20
131,321,334,21
132,39,322,21
133,373,220,21
134,252,200,21
135,310,126,21
136,299,392,22
137,321,334,22
138,39,322,22
139,339,304,22
140,495,239,22
141,370,216,22
142,342,200,22
143,252,200,22
144,389,78,22
145,298,392,23
146,527,387,23
147,321,334,23
148,39,322,23
149,495,239,23
150,454,215,23
151,368,213,23
152,342,200,23
153,252,200,23
154,287,128,23
155,310,126,23
156,390,78,23
157,397,333,24
158,321,334,24
159,39,322,24
160,339,303,24
161,454,217,24
162,365,209,24
163,252,200,24
164,389,79,24
165,446,339,25
166,397,333,25
167,397,323,25
168,321,334,25
169,406,322,25
170,39,322,25
171,95,251,25
172,331,204,25
173,342,200,25
174,389,77,25
175,447,339,26
176,321,334,26
177,406,322,26
178,39,322,26
179,254,291,26
180,360,202,26
181,294,112,26
182,397,333,27
183,396,323,27
184,321,334,27
185,39,322,27
186,294,112,27
187,396,332,28
188,321,334,28
189,39,322,28
190,453,293,28
191,255,291,28
192,355,195,28
193,311,125,28
194,534,382,29
195,397,333,29
196,396,322,29
197,39,322,29
198,378,277,29
